GEOID,NAME,date,week,mean_SR_B4,mean_SR_B5,mean_NDVI,corn_area_m2
51580,Covington,2024-01-01,0.0,,,,29700.0
51530,Buena Vista,2024-01-01,0.0,,,,19800.0
51678,Lexington,2024-01-01,0.0,,,,7200.0
51640,Galax,2024-01-01,0.0,,,,104304.70588235294
51720,Norton,2024-01-01,0.0,,,,900.0
51750,Radford,2024-01-01,0.0,,,,33300.0
51590,Danville,2024-01-01,0.0,0.09755000000000003,0.18225000000000002,0.3027162253856659,335700.0
51690,Martinsville,2024-01-01,0.0,,,,19800.0
51775,Salem,2024-01-01,0.0,,,,25200.0
51770,Roanoke,2024-01-01,0.0,,,,95611.76470588235
51520,Bristol,2024-01-01,0.0,,,,4500.0
51167,Russell,2024-01-01,0.0,,,,1778400.0
51027,Buchanan,2024-01-01,0.0,,,,33300.0
51005,Alleghany,2024-01-01,0.0,,,,1219701.1764705882
51141,Patrick,2024-01-01,0.0,,,,9041198.823529415
51077,Grayson,2024-01-01,0.0,0.09276499999999999,0.20711000000000002,0.3813088834285736,7101247.0588235315
51197,Wythe,2024-01-01,0.0,0.12536112926908852,0.259180224059169,0.3457920703455913,2.531713411764706E7
51035,Carroll,2024-01-01,0.0,,,,6809227.058823529
51017,Bath,2024-01-01,0.0,0.13616,0.296595,0.37072938680648804,1474425.8823529412
51173,Smyth,2024-01-01,0.0,0.10887584649555775,0.2392836969397828,0.36929054223626173,6308463.529411766
51021,Bland,2024-01-01,0.0,0.11124499999999998,0.24814000000000003,0.3809146285057068,2119101.176470588
51105,Lee,2024-01-01,0.0,,,,1691604.705882353
51091,Highland,2024-01-01,0.0,0.10065750000000001,0.21206000000000003,0.35624006390571594,1427911.7647058824
51163,Rockbridge,2024-01-01,0.0,0.09269979118329466,0.2714024477958237,0.45348344712135685,1.5492211764705883E7
51051,Dickenson,2024-01-01,0.0,,,,39600.0
51195,Wise,2024-01-01,0.0,,,,174109.4117647059
51121,Montgomery,2024-01-01,0.0,,,,5992807.05882353
51063,Floyd,2024-01-01,0.0,,,,4265982.352941177
51071,Giles,2024-01-01,0.0,,,,1147620.0
51155,Pulaski,2024-01-01,0.0,,,,7704024.705882353
51185,Tazewell,2024-01-01,0.0,,,,1373400.0
51143,Pittsylvania,2024-01-01,0.0,0.08194502293637589,0.24291045240322975,0.4887763704143737,4.514698941176471E7
51009,Amherst,2024-01-01,0.0,0.09125442039106145,0.22934956238361268,0.43721865830696716,2714445.882352941
51019,Bedford,2024-01-01,0.0,0.09872170236530879,0.26590820170827856,0.44839997723130764,7801708.235294118
51031,Campbell,2024-01-01,0.0,0.08256280412654743,0.2254118529573589,0.4654838940464317,1.579272705882353E7
51089,Henry,2024-01-01,0.0,0.0797991864202491,0.18930449578143832,0.4163063080040697,4412167.05882353
51045,Craig,2024-01-01,0.0,,,,2037614.1176470588
51067,Franklin,2024-01-01,0.0,0.08454331425584181,0.2448598427030052,0.4854572552606294,5.321702823529412E7
51161,Roanoke,2024-01-01,0.0,,,,625697.6470588236
51023,Botetourt,2024-01-01,0.0,0.09555624999999998,0.2220833783783784,0.4005833054716523,1.41567E7
51169,Scott,2024-01-01,0.0,,,,838803.5294117647
