system:index,NDVI,date,year,.geo
0,0.5328016652241364,2021-04-01,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5420010604219699,2021-04-08,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5684335522729302,2021-04-15,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5390070529303987,2021-04-22,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6200506307283917,2021-04-29,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5235935761099557,2021-05-06,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5327613895380326,2021-05-13,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5395105065193523,2021-05-20,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.56176455884491,2021-05-27,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5630619511320557,2021-06-03,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6757825752639078,2021-06-10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.670174505555121,2021-06-17,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.7237788258503334,2021-06-24,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.7250426822775649,2021-07-01,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.7734509707823664,2021-07-08,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.7959427554797462,2021-07-15,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7567518730139217,2021-07-22,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7424881454699115,2021-07-29,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.7779358952957309,2021-08-05,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.7812720482913688,2021-08-12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.780612651548897,2021-08-19,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.7689095281991102,2021-08-26,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.7702780561748592,2021-09-02,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.677847708015664,2021-09-09,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.6819346785403828,2021-09-16,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.6536328840709004,2021-09-23,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.6306844095592751,2021-09-30,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.6096248558411995,2021-10-07,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.5716854595881274,2021-10-14,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6083931361392712,2021-10-21,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6163077090261487,2021-10-28,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.5304480228657399,2021-11-04,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.5519543791718077,2021-11-11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.4899477486768862,2021-11-18,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.49934024568943963,2021-11-25,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.4629997244314563,2021-12-02,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.494758897842975,2021-12-09,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.4835361366863998,2021-12-16,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.4950443717370382,2021-12-23,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.4128357928432115,2021-12-30,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.4457937725529936,2022-01-06,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.5325967122653242,2022-01-13,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.3596510141206009,2022-01-20,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.12690955397795306,2022-01-27,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.4846211062069942,2022-02-03,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.409600273310065,2022-02-10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.39885729045619794,2022-02-17,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.4553542477176713,2022-02-24,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.4485928314934085,2022-03-03,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.5110613284748657,2022-03-10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.5224936232650208,2022-03-17,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.5354291016828465,2022-03-24,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.5840776031541749,2022-03-31,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.6155207781526554,2022-04-07,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.5442569569476278,2022-04-14,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.5512354018406157,2022-04-21,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.6203948347977101,2022-04-28,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.5996225171339766,2022-05-05,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.5914752066812718,2022-05-12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.6237600359425081,2022-05-19,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.6009395583310473,2022-05-26,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.6129267508073051,2022-06-02,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.5704849767720649,2022-06-09,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.6168633808909518,2022-06-16,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.6166925750353032,2022-06-23,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.6703400260188814,2022-06-30,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.691886441529047,2022-07-07,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.7661319355261587,2022-07-14,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.790441045135844,2022-07-21,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.7728144396477639,2022-07-28,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.8164182790226084,2022-08-04,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.8271891869903066,2022-08-11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.8221135364094263,2022-08-18,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.8012870117773543,2022-08-25,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.737075809949673,2022-09-01,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
